year,0_15,16_30,31_45,46_60,60+,indian_Jan,indian_Feb,indian_Mar,indian_Apr,indian_May,indian_Jun,indian_July,indian_Aug,indian_Sep,indian_Oct,indian_Nov,indian_Dec,indian_Total,Holiday_Pleasure,Trekking_Mountaineering,Business,Pilgrimage,Official,Conv_Conf,Others_purpose,purpose_Total,Male,Female,sex_Total,Third_Country,Indian,total_tourist_Total,total_tourist_modeoftrans,Annual_Growth_rate,Number_air,Percent_air,Number_land,Percent_land,avg_length_of_stay,tourist_Jan,tourist_Feb,tourist_Mar,tourist_Apr,tourist_May,tourist_Jun,tourist_Jul,tourist_Aug,tourist_Sep,tourist_Oct,tourist_Nov,tourist_Dec,monthly_tourist_Total
1995,22878,106603,120212,76647,37055,6449,8758,8838,10575,15352,16380,9839,7475,8225,8447,7605,9317,117260,183207.0,84787.0,21829.0,5257.0,20090.0,5272.0,42953.0,363395.0,224769,138626,363395,246135,117260,363395,363395,11,325035,89,38360,11,11,22207,28240,34219,33994,27843,25650,23980,27686,30569,46845,35782,26380,363395
1996,22185,94924,116307,89751,70446,10208,6047,7598,10873,15686,16972,8960,7247,8980,9175,8429,12337,122512,209377.0,88945.0,25079.0,4802.0,20191.0,6054.0,39165.0,393613.0,233055,160558,393613,271101,122512,393613,393613,8,343246,87,50367,13,14,27886,29676,39336,36331,29728,26749,22684,29080,32181,47314,37650,34998,393613
1997,23840,121286,126828,107111,42792,8729,8710,9788,10886,18620,16394,10067,10777,7637,10162,9461,12207,133438,249360.0,91525.0,27409.0,4068.0,24106.0,5824.0,19565.0,421857.0,251358,170499,421857,288419,133438,421857,421857,7,371145,88,50712,12,10,25585,32861,43177,35229,33456,26367,26091,35549,31981,56272,40173,35116,421857
1998,26763,122103,151846,121190,41782,8698,10101,8241,12090,20167,17986,12171,9787,10423,12700,8816,12049,143229,261347.0,112644.0,24954.0,16164.0,22123.0,5181.0,21271.0,463684.0,267871,195813,463684,320455,143229,463684,463684,10,398008,86,65676,14,11,28822,37956,41338,41087,35814,29181,27895,36174,39664,62487,47403,35863,463684
1999,30967,150307,155985,113314,40913,9198,8875,8060,11137,20407,18318,10411,9047,10467,12444,10030,12267,140661,290862.0,107960.0,23813.0,19198.0,24132.0,5965.0,19574.0,491504.0,286161,205343,491504,350843,140661,491504,491504,6,421243,86,70261,14,12,29752,38134,46218,40774,42712,31049,27193,38449,44117,66543,48865,37698,491504
2000,19136,119816,148063,125140,51491,4215,5020,5985,7205,9705,14897,7638,7465,8880,8095,7675,9135,95915,255889.0,118780.0,29454.0,15801.0,20832.0,5599.0,17291.0,463646.0,266937,196709,463646,367731,95915,463646,463646,-6,376914,81,86732,19,12,25307,38959,44944,43635,28363,26933,24480,34670,43523,59195,52993,40644,463646
2001,14608,95801,115678,93621,41529,5296,5917,6025,6872,10939,4101,4364,3664,5038,4047,4487,3570,64320,187022.0,100828.0,18528.0,13816.0,18727.0,0.0,22316.0,361237.0,213465,147772,361237,296917,64320,361237,361237,-22,299514,83,61723,17,12,30454,38680,46709,39083,28345,13030,18329,25322,31170,41245,30282,18588,361237
2002,12425,67774,99622,67017,28630,3996,3708,3713,4376,8136,8880,6659,5578,4984,5021,4679,7047,66777,110143.0,59279.0,16990.0,12366.0,17783.0,0.0,58907.0,275468.0,174710,100758,275468,208691,66777,275468,275468,-24,218660,79,56808,21,8,17176,20668,28815,21253,19887,17218,16621,21093,23752,35272,28723,24990,275468
2003,16056,78357,99740,85753,58226,5556,5028,5477,5548,7416,12516,9054,8419,6147,7419,6648,7135,86363,97904.0,65721.0,19387.0,21395.0,21967.0,0.0,111758.0,338132.0,204732,133400,338132,251769,86363,338132,338132,23,275438,82,62694,18,10,21215,24349,27737,25851,22704,20351,22661,27568,28724,45459,38398,33115,338132
2004,38734,84125,128267,96920,37251,8041,6888,8822,7235,11221,10017,7790,5505,3667,5269,7051,8820,90326,167262.0,69442.0,13948.0,45664.0,17088.0,0.0,71893.0,385297.0,255303,129994,385297,294971,90326,385297,385297,14,297335,77,87962,23,14,30988,35631,44290,33514,26802,19793,24860,33162,25496,43373,36381,31007,385297
2005,30429,57115,114103,106077,67674,5946,3277,4028,5103,10103,11438,9075,10791,8653,10945,6727,10348,96434,,,17507.0,,17575.5,0.0,,,257972,117426,375398,278964,96434,375398,375398,-3,277346,74,98052,26,9,25477,20338,29875,23414,25541,22608,23996,36910,36066,51498,41505,38170,375398
